,Source,General_Pos,Finer_Pos
1,steering,3830.0,3063.0
2,steering,3830.0,3063.0
3,steering,3830.0,3063.0
4,steering,3830.0,3063.0
5,steering,3830.0,3063.0
6,steering,3830.0,3063.0
7,steering,3830.0,3063.0
8,steering,3830.0,3063.0
9,steering,3830.0,3063.0
10,steering,3830.0,3063.0
11,steering,3830.0,3063.0
12,steering,3830.0,3063.0
13,steering,3830.0,3063.0
14,steering,3830.0,3063.0
15,steering,3830.0,3063.0
16,steering,3830.0,3063.0
17,steering,3830.0,3063.0
18,steering,3830.0,3063.0
19,steering,3830.0,3063.0
20,steering,3830.0,3063.0
21,steering,3830.0,3063.0
22,steering,3830.0,3063.0
23,steering,3830.0,3063.0
24,steering,3830.0,3063.0
25,steering,3830.0,3063.0
26,steering,3830.0,3063.0
27,steering,3830.0,3063.0
28,steering,3830.0,3063.0
29,steering,3830.0,3063.0
30,steering,3830.0,3063.0
31,steering,3830.0,3063.0
32,steering,3830.0,3063.0
33,steering,3830.0,3063.0
34,steering,3830.0,3063.0
35,steering,3830.0,3063.0
36,steering,3830.0,3063.0
37,steering,3830.0,3063.0
38,steering,3830.0,3063.0
39,steering,3830.0,3063.0
40,steering,3830.0,3063.0
41,steering,3830.0,3063.0
42,steering,3830.0,3063.0
43,steering,3830.0,3063.0
44,steering,3830.0,3063.0
45,steering,3830.0,3063.0
46,steering,3830.0,3063.0
47,steering,3830.0,3063.0
48,steering,3830.0,3063.0
49,steering,3830.0,3063.0
50,steering,3830.0,3063.0
51,steering,3830.0,3063.0
52,steering,3830.0,3063.0
53,steering,3830.0,3063.0
54,steering,3830.0,3063.0
55,steering,3830.0,3063.0
56,steering,3830.0,3063.0
57,steering,3830.0,3063.0
58,steering,3830.0,3063.0
59,steering,3830.0,3063.0
60,steering,3830.0,3063.0
61,steering,3830.0,3063.0
62,steering,3830.0,3063.0
63,steering,3830.0,3063.0
64,steering,3830.0,3063.0
65,steering,3830.0,3063.0
66,steering,3830.0,3063.0
67,steering,3830.0,3063.0
68,steering,3830.0,3063.0
69,steering,3830.0,3063.0
70,steering,3830.0,3063.0
71,steering,3830.0,3063.0
72,steering,3830.0,3063.0
73,steering,3830.0,3063.0
74,steering,3830.0,3063.0
75,steering,3830.0,3063.0
76,steering,3830.0,3063.0
77,steering,3830.0,3063.0
78,steering,3830.0,3063.0
79,steering,3830.0,3063.0
80,steering,3830.0,3063.0
81,steering,3830.0,3063.0
82,steering,3830.0,3063.0
83,steering,3830.0,3063.0
84,steering,3830.0,3063.0
85,steering,3830.0,3063.0
86,steering,3830.0,3063.0
87,steering,3830.0,3063.0
88,steering,3830.0,3063.0
89,steering,3830.0,3063.0
90,steering,3830.0,3063.0
91,steering,3830.0,3063.0
92,steering,3830.0,3063.0
93,steering,3830.0,3063.0
94,steering,3830.0,3063.0
95,steering,3830.0,3063.0
96,steering,3830.0,3063.0
97,steering,3830.0,3063.0
98,steering,3830.0,3063.0
99,steering,3830.0,3063.0
100,steering,3830.0,3063.0
101,steering,3830.0,3063.0
102,steering,3830.0,3063.0
103,steering,3830.0,3063.0
104,steering,3830.0,3063.0
105,steering,3830.0,3063.0
106,steering,3830.0,3063.0
107,steering,3830.0,3063.0
108,steering,3830.0,3063.0
109,steering,3830.0,3063.0
110,steering,3830.0,3063.0
111,steering,3830.0,3063.0
112,steering,3830.0,3063.0
113,steering,3830.0,3063.0
114,steering,3830.0,3063.0
115,steering,3830.0,3063.0
116,steering,3830.0,3063.0
117,steering,3830.0,3063.0
118,steering,3830.0,3063.0
119,steering,3830.0,3063.0
120,steering,3830.0,3063.0
121,steering,3830.0,3063.0
122,steering,3830.0,3063.0
123,steering,3830.0,3063.0
124,steering,3830.0,3063.0
125,steering,3830.0,3063.0
126,steering,3830.0,3063.0
127,steering,3830.0,3063.0
128,steering,3830.0,3063.0
129,steering,3830.0,3063.0
130,steering,3830.0,3063.0
131,steering,3830.0,3063.0
132,steering,3830.0,3063.0
133,steering,3830.0,3063.0
134,steering,3830.0,3063.0
135,steering,3830.0,3063.0
136,steering,3830.0,3063.0
137,steering,3830.0,3063.0
138,steering,3830.0,3063.0
139,steering,3830.0,3063.0
140,steering,3830.0,3063.0
141,steering,3830.0,3063.0
142,steering,3830.0,3063.0
143,steering,3830.0,3063.0
144,steering,3830.0,3063.0
145,steering,3830.0,3063.0
146,steering,3830.0,3063.0
147,steering,3830.0,3063.0
148,steering,3830.0,3063.0
149,steering,3830.0,3063.0
150,steering,3830.0,3063.0
151,steering,3830.0,3063.0
152,steering,3830.0,3063.0
153,steering,3830.0,3063.0
154,steering,3830.0,3063.0
155,steering,3830.0,3063.0
156,steering,3830.0,3063.0
157,steering,3830.0,3063.0
158,steering,3830.0,3063.0
159,steering,3830.0,3063.0
160,steering,3830.0,3063.0
161,steering,3830.0,3063.0
162,steering,3830.0,3063.0
163,steering,3830.0,3063.0
164,steering,3830.0,3063.0
165,steering,3830.0,3063.0
166,steering,3830.0,3063.0
167,steering,3830.0,3063.0
168,steering,3830.0,3063.0
169,steering,3830.0,3063.0
170,steering,3830.0,3063.0
171,steering,3830.0,3063.0
172,steering,3830.0,3063.0
173,steering,3830.0,3063.0
174,steering,3830.0,3063.0
175,steering,3830.0,3063.0
176,steering,3830.0,3063.0
177,steering,3830.0,3063.0
178,steering,3830.0,3063.0
179,steering,3830.0,3063.0
180,steering,3830.0,3063.0
181,steering,3830.0,3063.0
182,steering,3830.0,3063.0
183,steering,3830.0,3063.0
184,steering,3830.0,3063.0
185,steering,3830.0,3063.0
186,steering,3830.0,3063.0
187,steering,3830.0,3063.0
188,steering,3830.0,3063.0
189,steering,3830.0,3063.0
190,steering,3830.0,3063.0
191,steering,3830.0,3063.0
192,steering,3830.0,3063.0
193,steering,3830.0,3063.0
194,steering,3830.0,3063.0
195,steering,3830.0,3063.0
196,steering,3830.0,3063.0
197,steering,3830.0,3063.0
198,steering,3830.0,3063.0
199,steering,3830.0,3063.0
200,steering,3830.0,3063.0
201,steering,3830.0,3063.0
202,steering,3830.0,3063.0
203,steering,3830.0,3063.0
204,steering,3830.0,3063.0
205,steering,3830.0,3063.0
206,steering,3830.0,3063.0
207,steering,3830.0,3063.0
208,steering,3830.0,3063.0
209,steering,3830.0,3063.0
210,steering,3830.0,3063.0
211,steering,3830.0,3063.0
212,steering,3830.0,3063.0
213,steering,3830.0,3063.0
214,steering,3830.0,3063.0
215,steering,3830.0,3063.0
216,steering,3830.0,3063.0
217,steering,3830.0,3063.0
218,steering,3830.0,3063.0
219,steering,3830.0,3063.0
220,steering,3830.0,3063.0
221,steering,3830.0,3063.0
222,steering,3830.0,3063.0
223,steering,3830.0,3063.0
224,steering,3830.0,3063.0
225,steering,3830.0,3063.0
226,steering,3830.0,3063.0
227,steering,3830.0,3063.0
228,steering,3830.0,3063.0
229,steering,3830.0,3063.0
230,steering,3830.0,3063.0
231,steering,3830.0,3063.0
232,steering,3830.0,3063.0
233,steering,3830.0,3063.0
234,steering,3830.0,3063.0
235,steering,3830.0,3063.0
236,steering,3830.0,3063.0
237,steering,3830.0,3063.0
238,steering,3830.0,3063.0
239,steering,3830.0,3063.0
240,steering,3830.0,3063.0
241,steering,3830.0,3063.0
242,steering,3830.0,3063.0
243,steering,3830.0,3063.0
244,steering,3830.0,3063.0
245,steering,3830.0,3063.0
246,steering,3830.0,3063.0
247,steering,3830.0,3063.0
248,steering,3830.0,3063.0
249,steering,3830.0,3063.0
250,steering,3830.0,3063.0
251,steering,3830.0,3063.0
252,steering,3830.0,3063.0
253,steering,3830.0,3063.0
254,steering,3830.0,3063.0
255,steering,3830.0,3063.0
256,steering,3830.0,3063.0
257,steering,3830.0,3063.0
258,steering,3830.0,3063.0
259,steering,3830.0,3063.0
260,steering,3830.0,3063.0
261,steering,3830.0,3063.0
262,steering,3830.0,3063.0
263,steering,3830.0,3063.0
264,steering,3830.0,3063.0
265,steering,3830.0,3063.0
266,steering,3830.0,3063.0
267,steering,3830.0,3063.0
268,steering,3830.0,3063.0
269,steering,3830.0,3063.0
270,steering,3830.0,3063.0
271,steering,3830.0,3063.0
272,steering,3830.0,3063.0
273,steering,3830.0,3063.0
274,steering,3830.0,3063.0
275,steering,3830.0,3063.0
276,steering,3830.0,3063.0
277,steering,3830.0,3063.0
278,steering,3830.0,3063.0
279,steering,3830.0,3063.0
280,steering,3830.0,3063.0
281,steering,3830.0,3063.0
282,steering,3830.0,3063.0
283,steering,3830.0,3063.0
284,steering,3830.0,3063.0
285,steering,3830.0,3063.0
286,steering,3830.0,3063.0
287,steering,3830.0,3063.0
288,steering,3830.0,3063.0
289,steering,3830.0,3063.0
290,steering,3830.0,3063.0
291,steering,3830.0,3063.0
292,steering,3830.0,3063.0
293,steering,3830.0,3063.0
294,steering,3830.0,3063.0
295,steering,3830.0,3063.0
296,steering,3830.0,3063.0
297,steering,3830.0,3063.0
298,steering,3830.0,3063.0
299,steering,3830.0,3063.0
300,steering,3830.0,3063.0
301,steering,3830.0,3063.0
302,steering,3830.0,3063.0
303,steering,3830.0,3063.0
304,steering,3830.0,3063.0
305,steering,3830.0,3063.0
306,steering,3830.0,3063.0
307,steering,3830.0,3063.0
308,steering,3830.0,3063.0
309,steering,3830.0,3063.0
310,steering,3830.0,3063.0
311,steering,3830.0,3063.0
312,steering,3830.0,3063.0
313,steering,3830.0,3063.0
314,steering,3830.0,3063.0
315,steering,3830.0,3063.0
316,steering,3830.0,3063.0
317,steering,3830.0,3063.0
318,steering,3830.0,3063.0
319,steering,3830.0,3063.0
